2017-11-21 10:40:31,361 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 10:40:31,361 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 10:40:31,397 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.602 seconds
2017-11-21 10:40:31,398 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.043 seconds
2017-11-21 10:44:32,220 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 10:44:32,224 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 10:44:32,458 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 10:44:32,508 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-21 10:44:32,650 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 10:44:32,686 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 0.465 seconds
2017-11-21 10:44:32,686 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.031 seconds
2017-11-21 10:45:23,095 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 10:45:23,100 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 10:45:23,382 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 10:45:23,430 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-21 10:45:23,565 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 10:45:23,596 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 0.501 seconds
2017-11-21 10:45:23,597 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.027 seconds
2017-11-21 11:04:30,192 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 11:04:30,198 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 11:04:30,485 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 11:04:30,531 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
